name,elec,pauli,disp
Me3SiH_COF2,13.41306167,-12.89113667,4.81856000
Me3SiH_ICN,15.97425667,-13.00181833,4.94364833
cf3h_h2o,14.90309500,-27.85537500,5.82677500
water_dimer,42.83663667,-42.53060167,6.23449833
